famille	rang	photo	libelle1	libelle2	libelle3	libelle4	libelle5	libelle6	pvttc	pvht	tva	tph	pvbarre	refweb	etat	four	reffour
31	15	d6-76-ob.jpg	DIAM'SD6.76-OB	Boucles d'oreille en or blanc 18 carats 24 diamants de 0.008 carat couleur F pureté SI1		Or blanc<BR>OR 18 CARATS<BR>1,60 Gr<BR><PUn><BR><PCn>			  63500.00	  63341.63	    158.37	      0.00	      0.00	BO-67.6D 999		999	D6.76-OB
11	1	0-1006.jpg	DIAM'S0.1006	Solitaire en or jaune 18 carats , un diamant taille princesse de 0.15 ct et 12 diamants de 0.01 ct en F.SI1		Or jaune<BR>OR 18 CARATS<BR>3,50 Gr<BR><PUn><BR><PCn>			 136500.00	 136159.57	    340.43	      0.00	      0.00	6001.0 999		999	0.1006
31	16	d6-77-ob.jpg	DIAM'SD6.77-OB	Boucle d'oreilles en or blanc 18 carats 18 diamants de 0,01 carat couleur F pureté SI1		Or blanc<BR>OR 18 CARATS<BR>1,40 Gr<BR><PUn><BR><PCn>			  82716.00	  82509.71	    206.29	      0.00	      0.00	BO-77.6D 999		999	D6.77-OB
31	17	d6-78-ob.jpg	DIAM'SD6.78-OB	Boucle d'oreilles en or blanc 18 carats 14 diamants de 0,02 carat en F.SI1		Or blanc<BR>OR 18 CARATS<BR>2,00 Gr<BR><PUn><BR><PCn>			  88240.00	  88019.93	    220.07	      0.00	      0.00	BO-87.6D 999		999	D6.78-OB
11	3	0-36-ob.jpg	DIAM'S0.36/OB	Solitaire en or blanc 18 carats 1 diamant de 0.20 carat couleur F pureté SI1		Or blanc<BR>OR 18 CARATS<BR>2,70 Gr<BR><PUn><BR><PCn>			 135900.00	 135561.07	    338.93	      0.00	      0.00	BO/63.0 999		999	0.36/OB
31	18	d6-8.jpg	DIAM'SD6.8	Boucle d'oreille en or jaune 18 carats 6 diamants 0.03  carat  Couleur   F   Pureté  SI 1		Or jaune<BR>OR 18 CARATS<BR>1,40 Gr<BR><PUn><BR><PCn>			  51258.00	  51130.16	    127.84	      0.00	      0.00	8.6D 999		999	D6.8
11	4	0-58.jpg	DIAM'S0.58	Solitaire en or jaune 18 carats 1 diamant 0.10 carat couleur F puretè SI1		Or jaune<BR>OR 18 CARATS<BR>1,70 Gr<BR><PUn><BR><PCn>			  61513.00	  61359.59	    153.41	      0.00	      0.00	85.0 999		999	0.58
31	19	d6-8-ob.jpg	DIAM'SD6.8/OB	Boucle d'oreille en or blanc 18 carats 6 diamants de 0.03 carat couleur F pureté SI1		Or blanc<BR>OR 18 CARATS<BR>1,10 Gr<BR><PUn><BR><PCn>			  63800.00	  63640.88	    159.12	      0.00	      0.00	BO/8.6D 999		999	D6.8/OB
11	5	0-791.jpg	DIAM'S0.791	Solitaire en or jaune 18 carats 1 diamant de 0.10 carat couleur F pureté SI1		Or jaune<BR>OR 18 CARATS<BR>3,40 Gr<BR><PUn><BR><PCn>			  73300.00	  73117.19	    182.81	      0.00	      0.00	197.0 999		999	0.791
31	20	d6-83.jpg	DIAM'SD6.83	Boucles d'oreilles  étoile en or jaune 18 carats 2 diamants  de 0.02  carat en couleur F pureté SI1		Or jaune<BR>OR 18 CARATS<BR>0,60 Gr<BR><PUn><BR><PCn>			  24700.00	  24638.40	     61.60	      0.00	      0.00	38.6D 999		999	D6.83
